11/21/2022 	 2:57:00 PM
 Current Sensitivity 	 1.000000E-9
 This file comes from It only measurement 	 0.000000E+0
 Sampling rate 	 100
 Number of samples per channel 	 -1
 No filter from Labview

 ***End_of_Header***
 	 Time 	 Current 	 Filtered Current
	0.010000	3.578700E-9
	0.020000	3.578700E-9
	0.030000	3.579666E-9
	0.040000	3.581921E-9
	0.050000	3.580633E-9
	0.060000	3.576768E-9
	0.070000	3.562275E-9
	0.080000	3.547781E-9
	0.090000	3.541984E-9
	0.100000	3.542306E-9
	0.110000	3.547781E-9
	0.120000	3.547137E-9
	0.130000	3.544239E-9
	0.140000	3.540696E-9
	0.150000	3.539408E-9
	0.160000	3.541662E-9
	0.170000	3.542950E-9
	0.180000	3.546171E-9
	0.190000	3.548748E-9
	0.200000	3.547781E-9
	0.210000	3.546493E-9
	0.220000	3.539408E-9
	0.230000	3.533610E-9
	0.240000	3.525236E-9
	0.250000	3.514608E-9
	0.260000	3.504624E-9
	0.270000	3.487876E-9
	0.280000	3.477892E-9
	0.290000	3.474671E-9
	0.300000	3.476926E-9
	0.310000	3.491419E-9
	0.320000	3.510743E-9
	0.330000	3.538119E-9
	0.340000	3.570971E-9
	0.350000	3.601567E-9
	0.360000	3.631520E-9
	0.370000	3.649878E-9
	0.380000	3.661150E-9
	0.390000	3.663405E-9
	0.400000	3.657608E-9
	0.410000	3.651488E-9
	0.420000	3.641182E-9
	0.430000	3.632486E-9
	0.440000	3.623790E-9
	0.450000	3.615094E-9
	0.460000	3.608975E-9
	0.470000	3.601567E-9
	0.480000	3.597702E-9
	0.490000	3.595126E-9
	0.500000	3.589973E-9
	0.510000	3.587718E-9
	0.520000	3.582565E-9
	0.530000	3.581921E-9
	0.540000	3.581921E-9
	0.550000	3.579988E-9
	0.560000	3.581277E-9
	0.570000	3.581599E-9
	0.580000	3.582887E-9
	0.590000	3.585142E-9
	0.600000	3.584497E-9
	0.610000	3.587718E-9
	0.620000	3.588362E-9
	0.630000	3.590295E-9
	0.640000	3.594482E-9
	0.650000	3.595448E-9
	0.660000	3.599635E-9
	0.670000	3.601567E-9
	0.680000	3.601889E-9
	0.690000	3.602211E-9
	0.700000	3.597702E-9
	0.710000	3.592227E-9
	0.720000	3.584497E-9
	0.730000	3.581921E-9
	0.740000	3.584175E-9
	0.750000	3.584497E-9
	0.760000	3.586430E-9
	0.770000	3.583209E-9
	0.780000	3.583531E-9
	0.790000	3.582565E-9
	0.800000	3.578378E-9
	0.810000	3.577090E-9
	0.820000	3.571615E-9
	0.830000	3.568716E-9
	0.840000	3.566784E-9
	0.850000	3.563241E-9
	0.860000	3.563241E-9
	0.870000	3.561630E-9
	0.880000	3.561630E-9
	0.890000	3.564851E-9
	0.900000	3.568716E-9
	0.910000	3.581277E-9
	0.920000	3.598024E-9
	0.930000	3.622502E-9
	0.940000	3.651488E-9
	0.950000	3.677576E-9
	0.960000	3.700765E-9
	0.970000	3.713326E-9
	0.980000	3.718801E-9
	0.990000	3.717191E-9
	1.000000	3.707851E-9
	1.010000	3.696578E-9
	1.020000	3.681441E-9
	1.030000	3.666304E-9
	1.040000	3.652132E-9
	1.050000	3.640216E-9
	1.060000	3.634419E-9
	1.070000	3.627333E-9
	1.080000	3.621858E-9
	1.090000	3.618637E-9
	1.100000	3.612840E-9
	1.110000	3.611551E-9
	1.120000	3.608653E-9
	1.130000	3.609941E-9
	1.140000	3.611551E-9
	1.150000	3.611551E-9
	1.160000	3.614128E-9
	1.170000	3.614772E-9
	1.180000	3.616705E-9
	1.190000	3.618637E-9
	1.200000	3.618315E-9
	1.210000	3.622502E-9
	1.220000	3.623468E-9
	1.230000	3.625078E-9
	1.240000	3.626045E-9
	1.250000	3.624756E-9
	1.260000	3.624756E-9
	1.270000	3.623468E-9
	1.280000	3.621536E-9
	1.290000	3.621536E-9
	1.300000	3.617027E-9
	1.310000	3.611551E-9
	1.320000	3.602856E-9
	1.330000	3.598669E-9
	1.340000	3.600279E-9
	1.350000	3.600601E-9
	1.360000	3.602856E-9
	1.370000	3.600601E-9
	1.380000	3.599957E-9
	1.390000	3.599635E-9
	1.400000	3.598669E-9
	1.410000	3.598991E-9
	1.420000	3.597380E-9
	1.430000	3.596092E-9
	1.440000	3.594804E-9
	1.450000	3.590617E-9
	1.460000	3.590295E-9
	1.470000	3.588684E-9
	1.480000	3.589006E-9
	1.490000	3.590939E-9
	1.500000	3.594160E-9
	1.510000	3.606720E-9
	1.520000	3.624434E-9
	1.530000	3.648590E-9
	1.540000	3.677254E-9
	1.550000	3.703020E-9
	1.560000	3.725243E-9
	1.570000	3.736837E-9
